gray_value,original_count,equalized_count
0,0.500524,0.000000
1,0.000000,0.000000
2,0.000000,0.000000
3,0.000000,0.000000
4,0.000000,0.000000
5,0.000000,0.000000
6,0.000000,0.000000
7,0.000000,0.000000
8,0.000000,0.000000
9,0.000000,0.000000
10,0.000000,0.000000
11,0.000000,0.000000
12,0.000000,0.000000
13,0.000000,0.000000
14,0.000000,0.000000
15,0.000026,0.000000
16,0.000273,0.000000
17,0.000192,0.000000
18,0.000020,0.000000
19,0.000075,0.000000
20,0.000228,0.000000
21,0.001572,0.000000
22,0.000905,0.000000
23,0.002259,0.000000
24,0.001989,0.000000
25,0.002090,0.000000
26,0.007617,0.000000
27,0.014476,0.000000
28,0.003109,0.000000
29,0.002865,0.000000
30,0.000000,0.000000
31,0.000641,0.000000
32,0.000000,0.000000
33,0.000000,0.000000
34,0.001787,0.000000
35,0.000000,0.000000
36,0.000729,0.000000
37,0.000000,0.000000
38,0.001644,0.000000
39,0.000000,0.000000
40,0.000000,0.000000
41,0.000905,0.000000
42,0.000000,0.000000
43,0.001527,0.000000
44,0.005570,0.000000
45,0.000000,0.000000
46,0.000856,0.000000
47,0.028070,0.000000
48,0.001696,0.000000
49,0.039180,0.000000
50,0.000645,0.000000
51,0.040459,0.000000
52,0.000000,0.000000
53,0.001813,0.000000
54,0.045804,0.000000
55,0.039443,0.000000
56,0.000000,0.000000
57,0.036117,0.000000
58,0.000000,0.000000
59,0.000000,0.000000
60,0.020557,0.000000
61,0.015674,0.000000
62,0.000635,0.000000
63,0.016260,0.000000
64,0.001527,0.000000
65,0.000000,0.000000
66,0.008512,0.000000
67,0.000931,0.000000
68,0.003535,0.000000
69,0.004857,0.000000
70,0.000000,0.000000
71,0.000703,0.000000
72,0.004001,0.000000
73,0.003405,0.000000
74,0.000915,0.000000
75,0.002604,0.000000
76,0.001517,0.000000
77,0.000000,0.000000
78,0.001009,0.000000
79,0.003112,0.000000
80,0.000000,0.000000
81,0.005273,0.000000
82,0.000000,0.000000
83,0.000817,0.000000
84,0.000000,0.000000
85,0.000902,0.000000
86,0.002428,0.000000
87,0.000000,0.000000
88,0.001702,0.000000
89,0.000000,0.000000
90,0.002705,0.000000
91,0.000000,0.000000
92,0.000892,0.000000
93,0.002513,0.000000
94,0.000000,0.000000
95,0.001618,0.000000
96,0.000000,0.000000
97,0.003203,0.000000
98,0.000000,0.000000
99,0.000000,0.000000
100,0.003307,0.000000
101,0.000000,0.000000
102,0.001533,0.000000
103,0.000000,0.000000
104,0.003132,0.000000
105,0.000000,0.000000
106,0.000000,0.000000
107,0.003584,0.000000
108,0.000000,0.000000
109,0.001064,0.000000
110,0.000000,0.000000
111,0.003633,0.000000
112,0.000000,0.000000
113,0.000000,0.000000
114,0.002220,0.000000
115,0.000000,0.000000
116,0.000977,0.000000
117,0.000000,0.000000
118,0.000661,0.000000
119,0.001644,0.000000
120,0.000000,0.000000
121,0.002884,0.000000
122,0.000000,0.000000
123,0.000771,0.000000
124,0.000000,0.000000
125,0.000433,0.000000
126,0.001224,0.000000
127,0.000000,0.000000
128,0.001354,0.503815
129,0.000000,0.002259
130,0.001331,0.004079
131,0.000000,0.000000
132,0.000387,0.007617
133,0.000996,0.000000
134,0.000000,0.000000
135,0.001517,0.000000
136,0.000000,0.014476
137,0.000752,0.006615
