metric_category,metric_name,value,unit
timing,data_loading,19.032,ms
timing,preprocessing,15.033,ms
timing,segmentation,14.179,ms
timing,camera_setup,0.047,ms
timing,optimization,1203.68,ms
timing,logging,9.779,ms
timing,total,1261.8,ms
algorithm,total_iterations,342,count
algorithm,initial_mhd_score,366.194,score
algorithm,final_mhd_score,277.127,score
algorithm,improvement,89.0666,score
algorithm,convergence_rate,0.243223,ratio
algorithm,avg_iteration_time,3.48379,ms
throughput,iterations_per_second,284.128,iter/s
throughput,points_per_second,1.06435e+06,points/s
throughput,edges_per_second,174739,edges/s
throughput,mhd_computations_per_second,286.621,calls/s
